"last_name, first_name","player_id","year","ab","walk","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","xwoba"
"Judge, Aaron","592450","2024","559","133","9","20","2",".476",".479"
"Swanson, Dansby","621020","2024","534","54","2","2","3",".307",".321"
"Rafaela, Ceddanne","678882","2024","544","15","7","1","3",".286",".273"
"Frelick, Sal","686217","2024","475","39","4","0","1",".292",".278"
"Doyle, Brenton","686668","2024","542","46","3","1","8",".328",".329"
"Vierling, Matt","663837","2024","518","41","3","1","5",".317",".309"
"Smith, Josh","669701","2024","523","46","18","1","3",".323",".304"
"Marte, Ketel","606466","2024","504","65","5","7","9",".391",".392"
"Turner, Trea","607208","2024","505","27","6","0","1",".349",".318"
"Chourio, Jackson","694192","2024","528","39","3","4","2",".339",".328"
"Castro, Willi","650489","2024","558","51","21","0","4",".317",".320"
"India, Jonathan","663697","2024","533","80","15","0","7",".333",".352"
"Gurriel Jr., Lourdes","666971","2024","513","29","6","1","5",".327",".319"
"Chapman, Matt","656305","2024","575","64","6","3","2",".340",".341"
"De La Cruz, Bryan","650559","2024","584","29","3","1","5",".283",".302"
"Schanuel, Nolan","694384","2024","519","68","9","0","7",".315",".321"
"Goldschmidt, Paul","502671","2024","599","47","2","2","2",".310",".329"
"Springer III, George","543807","2024","545","60","6","0","2",".298",".322"
"Olson, Matt","621566","2024","600","71","9","5","5",".339",".341"
"Steer, Spencer","668715","2024","574","72","8","1","2",".316",".315"
"Alonso, Pete","624413","2024","608","70","13","4","4",".340",".343"
"Vaughn, Andrew","683734","2024","570","38","6","0","5",".304",".319"
"Paredes, Isaac","670623","2024","542","76","17","2","6",".327",".304"
"Contreras, William","661388","2024","595","78","3","5","3",".359",".358"
"Alvarez, Yordan","670541","2024","552","69","10","16","4",".402",".411"
"Torres, Gleyber","650402","2024","587","65","3","0","8",".313",".307"
"Soto, Juan","665742","2024","576","129","4","2","4",".421",".462"
"Turang, Brice","668930","2024","559","50","2","1","3",".294",".297"
"Naylor, Josh","647304","2024","563","58","7","7","4",".332",".335"
"Tovar, Ezequiel","678662","2024","655","23","4","1","7",".324",".289"
"Díaz, Yandy","650490","2024","563","50","4","0","4",".331",".336"
"Rutschman, Adley","668939","2024","571","58","2","3","7",".309",".315"
"Burleson, Alec","676475","2024","547","35","4","0","6",".319",".329"
"Garcia, Maikel","672580","2024","575","42","0","0","5",".270",".300"
"Bregman, Alex","608324","2024","581","44","5","1","4",".331",".319"
"Peña, Jeremy","665161","2024","602","25","14","1","6",".305",".310"
