player_id,"last_name, first_name",woba,xwOBA (MLB),xwOBA (ARut/MShi/INij),diff_woba_mlb_xwoba,diff_woba_our_xwoba
657077,"Verdugo, Alex",0.283,0.302,0.345,-0.019000000000000017,-0.062
660271,"Ohtani, Shohei",0.431,0.442,0.49,-0.01100000000000001,-0.059
673237,"Diaz, Yainer",0.329,0.339,0.353,-0.010000000000000009,-0.023999999999999966
683011,"Volpe, Anthony",0.287,0.278,0.313,0.008999999999999952,-0.026000000000000023
691026,"Winn, Masyn",0.315,0.293,0.309,0.02200000000000002,0.006000000000000005
571448,"Arenado, Nolan",0.314,0.296,0.319,0.018000000000000016,-0.0050000000000000044
596019,"Lindor, Francisco",0.363,0.379,0.428,-0.016000000000000014,-0.065
665926,"Giménez, Andrés",0.281,0.296,0.309,-0.014999999999999958,-0.02799999999999997
514888,"Altuve, Jose",0.344,0.316,0.342,0.02799999999999997,0.0019999999999999463
680977,"Donovan, Brendan",0.332,0.335,0.356,-0.0030000000000000027,-0.023999999999999966
680776,"Duran, Jarren",0.357,0.342,0.348,0.014999999999999958,0.009000000000000008
656555,"Hoskins, Rhys",0.313,0.301,0.329,0.01200000000000001,-0.016000000000000014
457705,"McCutchen, Andrew",0.325,0.327,0.344,-0.0020000000000000018,-0.01899999999999996
662139,"Varsho, Daulton",0.304,0.261,0.292,0.04299999999999998,0.01200000000000001
681351,"O'Hoppe, Logan",0.311,0.331,0.346,-0.020000000000000018,-0.034999999999999976
608385,"Winker, Jesse",0.338,0.329,0.375,0.009000000000000008,-0.03699999999999998
683737,"Busch, Michael",0.336,0.319,0.332,0.017000000000000015,0.0040000000000000036
657041,"Thomas, Lane",0.309,0.307,0.338,0.0020000000000000018,-0.029000000000000026
669127,"Langeliers, Shea",0.315,0.328,0.337,-0.013000000000000012,-0.02200000000000002
687401,"Ortiz, Joey",0.319,0.305,0.312,0.014000000000000012,0.007000000000000006
572233,"Walker, Christian",0.343,0.351,0.376,-0.007999999999999952,-0.032999999999999974
650333,"Arraez, Luis",0.323,0.325,0.352,-0.0020000000000000018,-0.02899999999999997
624585,"Soler, Jorge",0.34,0.346,0.367,-0.00599999999999995,-0.02699999999999997
663993,"Lowe, Nathaniel",0.337,0.328,0.344,0.009000000000000008,-0.006999999999999951
457759,"Turner, Justin",0.327,0.328,0.358,-0.0010000000000000009,-0.030999999999999972
667670,"Rooker Jr., Brent",0.392,0.38,0.388,0.01200000000000001,0.0040000000000000036
663728,"Raleigh, Cal",0.323,0.346,0.363,-0.022999999999999965,-0.03999999999999998
696285,"Young, Jacob",0.29,0.286,0.293,0.0040000000000000036,-0.0030000000000000027
669257,"Smith, Will",0.326,0.334,0.384,-0.008000000000000007,-0.057999999999999996
656941,"Schwarber, Kyle",0.366,0.38,0.4,-0.014000000000000012,-0.03400000000000003
668227,"Arozarena, Randy",0.32,0.324,0.325,-0.0040000000000000036,-0.0050000000000000044
646240,"Devers, Rafael",0.364,0.364,0.371,0.0,-0.007000000000000006
694671,"Langford, Wyatt",0.321,0.331,0.345,-0.010000000000000009,-0.023999999999999966
592450,"Judge, Aaron",0.476,0.479,0.518,-0.0030000000000000027,-0.04200000000000004
621020,"Swanson, Dansby",0.307,0.321,0.328,-0.014000000000000012,-0.02100000000000002
678882,"Rafaela, Ceddanne",0.286,0.273,0.297,0.012999999999999956,-0.01100000000000001
686217,"Frelick, Sal",0.292,0.278,0.29,0.013999999999999957,0.0020000000000000018
686668,"Doyle, Brenton",0.328,0.329,0.333,-0.0010000000000000009,-0.0050000000000000044
